ts,uid,id.orig_h,id.orig_p,id.resp_h,id.resp_p,proto,service,duration,orig_bytes,resp_bytes,conn_state,local_orig,local_resp,missed_bytes,history,orig_pkts,orig_ip_bytes,resp_pkts,resp_ip_bytes,tunnel_parents
1258563306,C6wUDC1MiSYguDcxOe,192.168.1.103,1391,151.207.243.129,80,tcp,http,22.203564,2575,1694,S3,T,T,0,ShADadTf,16,3609,10,2102,-
1258563572,Cc2Uqr2TonrKOi1p7e,192.168.1.102,138,192.168.1.255,138,udp,-,2.249339,348,0,S0,T,T,0,D,2,404,0,0,-
1258563281,C1adir2W1zEEHLwy38,192.168.1.103,1371,65.55.15.124,80,tcp,http,359.774495,2392,3762,RSTR,T,T,0,ShADdfr,11,2840,7,4046,-
1258563288,Ceduai1eapI3MHqyXk,192.168.1.103,1381,65.55.15.124,80,tcp,http,353.439976,600,817,RSTR,T,T,0,ShADdfr,5,808,4,981,-
1258563287,C5DI5u3PprE8KFg5kk,192.168.1.103,1380,65.55.15.124,80,tcp,http,354.201258,1200,3015,RSTR,T,T,0,ShADdfr,7,1488,6,3259,-
1258563652,CulxnS2JqPu4qTP62,192.168.1.103,1390,151.207.243.129,80,tcp,-,-,-,-,OTH,T,T,0,R,1,40,0,0,-
1258563652,C5HvNq7giM0q3Z8N2,192.168.1.103,1388,151.207.243.129,80,tcp,-,-,-,-,OTH,T,T,0,R,1,40,0,0,-
1258563652,CmnYeX1pNol4AsJDIb,192.168.1.103,1387,151.207.243.129,80,tcp,-,-,-,-,OTH,T,T,0,R,1,40,0,0,-
1258563652,CdazCV2rZJH6MKYPsh,192.168.1.103,1392,151.207.243.129,80,tcp,-,-,-,-,OTH,T,T,0,R,1,40,0,0,-
1258563652,CgzBDo1xGbg41Qy3bj,192.168.1.103,1389,151.207.243.129,80,tcp,-,-,-,-,OTH,T,T,0,R,1,40,0,0,-
1258563652,CveoPR1uvx2RV1vn1e,192.168.1.103,1391,151.207.243.129,80,tcp,-,-,-,-,OTH,T,T,0,R,1,40,0,0,-
1258563288,CVo3iOEUm5TJtrBff,192.168.1.103,1382,74.125.19.149,80,tcp,http,363.470626,366,251,RSTO,T,T,0,ShADadfR,6,614,4,419,-
1258563283,CDQafP29GN75urw5S5,192.168.1.103,1373,65.55.15.243,80,tcp,http,368.746566,2400,3405,RSTO,T,T,0,ShADdfR,12,2888,6,3649,-
1258563652,C2pXfd1QUQdhU3EBWc,192.168.1.103,1370,65.55.239.188,80,tcp,-,-,-,-,OTH,T,T,0,R,1,40,0,0,-
1258563652,C6Anmc2sssYc6clHk5,192.168.1.103,1369,198.189.255.73,80,tcp,-,-,-,-,OTH,T,T,0,R,1,40,0,0,-
1258563652,CWF8k14GiFAdefJ1e9,192.168.1.103,52862,192.168.1.1,53,udp,dns,0.0275,32,220,SF,T,T,0,Dd,1,60,1,248,-
1258563653,Cpo8eD22VAyIP1QfFi,192.168.1.103,62562,192.168.1.1,53,udp,dns,0.05467,37,229,SF,T,T,0,Dd,1,65,1,257,-
1258563681,CEk9811SeOuPU83B3a,192.168.1.104,137,192.168.1.255,137,udp,dns,3.7489,350,0,S0,T,T,0,D,7,546,0,0,-
1258563700,CbITTn3HGALnPqD6b9,192.168.1.103,53757,192.168.1.1,53,udp,dns,0.027716,31,218,SF,T,T,0,Dd,1,59,1,246,-
